eventId,eventName,course,tour,season,startDate,endDate,purse,winner,lastSynced
2024100,Fortinet Australian PGA Championship (now BMW Australian PGA Championship),Royal Queensland GC,euro,2024,2023-11-23,2025-12-27,,,2025-12-27
2024101,Joburg Open,Houghton GC,euro,2024,2023-11-23,2025-12-27,,,2025-12-27
2024103,Investec South African Open Championship,Blair Atholl Golf & Equestrian Estate,euro,2024,2023-11-30,2025-12-27,,,2025-12-27
2024102,ISPS Handa Australian Open (now Crown Australian Open),Australian Golf Club;Lakes GC,euro,2024,2023-11-30,2025-12-27,,,2025-12-27
2024104,Alfred Dunhill Championship,Leopard Creek CC,euro,2024,2023-12-07,2025-12-27,,,2025-12-27
2024105,AfrAsia Bank Mauritius Open,La Reserve GC,euro,2024,2023-12-14,2025-12-27,,,2025-12-27
2024106,Dubai Invitational,Dubai Creek Resort,euro,2024,2024-01-11,2025-12-27,,,2025-12-27
2024107,Hero Dubai Desert Classic,Emirates GC,euro,2024,2024-01-18,2025-12-27,,,2025-12-27
2024108,Ras Al Khaimah Championship,Al Hamra GC,euro,2024,2024-01-25,2025-12-27,,,2025-12-27
2024109,Bahrain Championship (now Bapco Energies Bahrain Championship),Royal Golf Club,euro,2024,2024-02-01,2025-12-27,,,2025-12-27
2024147,Commercial Bank Qatar Masters,Doha GC,euro,2024,2024-02-08,2025-12-27,,,2025-12-27
2024110,Magical Kenya Open,Muthaiga GC,euro,2024,2024-02-22,2025-12-27,,,2025-12-27
2024111,SDC Championship,St. Francis Links,euro,2024,2024-02-29,2025-12-27,,,2025-12-27
2024112,Jonsson Workwear Open,Glendower GC,euro,2024,2024-03-07,2025-12-27,,,2025-12-27
2024113,Porsche Singapore Classic,Laguna National G&Cc Classic Course,euro,2024,2024-03-21,2025-12-27,,,2025-12-27
2024114,Hero Indian Open,Dlf G&Cc Player Course,euro,2024,2024-03-28,2025-12-27,,,2025-12-27
2024117,ISPS HANDA - CHAMPIONSHIP,Taiheiyo Club Gotemba,euro,2024,2024-04-25,2025-12-27,,,2025-12-27
2024116,Volvo China Open,Genzon GC,euro,2024,2024-05-02,2025-12-27,,,2025-12-27
