dataGolfId,playerName,tour,season,sgTotal,sgOffTee,sgApproach,sgAroundGreen,sgPutting,drivingDistance,drivingAccuracy,girPercent,scramblingPercent,puttsPerRound,lastSynced
18417,"Scheffler, Scottie",kft,2025,3.108,0.902,1.34,0.308,0.558,8.75,0.07,,,,2025-12-27
19195,"Rahm, Jon",kft,2025,1.987,0.882,0.615,0.28,0.211,14.52,0.01,,,,2025-12-27
12294,"Fleetwood, Tommy",kft,2025,1.886,0.413,0.742,0.203,0.527,0.15,0.07,,,,2025-12-27
10091,"McIlroy, Rory",kft,2025,1.861,0.804,0.458,0.137,0.463,19,-0.02,,,,2025-12-27
19895,"Schauffele, Xander",kft,2025,1.798,0.611,0.82,0.17,0.198,12.12,-0.01,,,,2025-12-27
19841,"DeChambeau, Bryson",kft,2025,1.758,1.193,0.356,-0.006,0.215,23.17,-0.01,,,,2025-12-27
14578,"Henley, Russell",kft,2025,1.67,0.334,0.729,0.338,0.27,-8.92,0.11,,,,2025-12-27
17536,"Spaun, J.J.",kft,2025,1.631,0.579,0.806,0.118,0.128,3.12,0.04,,,,2025-12-27
24968,"Griffin, Ben",kft,2025,1.556,0.211,0.689,0.195,0.462,3.03,0,,,,2025-12-27
26651,"Young, Cameron",kft,2025,1.435,0.467,0.333,0.14,0.495,12.34,-0.03,,,,2025-12-27
23950,"Aberg, Ludvig",kft,2025,1.423,0.562,0.462,0.068,0.33,11.75,0.01,,,,2025-12-27
15466,"Cantlay, Patrick",kft,2025,1.326,0.352,0.653,0.12,0.201,6.88,-0.01,,,,2025-12-27
23323,"MacIntyre, Robert",kft,2025,1.321,0.278,0.33,0.213,0.501,2.73,0.01,,,,2025-12-27
14609,"Kim, Si Woo",kft,2025,1.321,0.599,0.65,0.266,-0.194,-2.32,0.09,,,,2025-12-27
19483,"Burns, Sam",kft,2025,1.29,0.297,0.291,0.054,0.649,7.01,0.01,,,,2025-12-27
17646,"Fitzpatrick, Matt",kft,2025,1.285,0.062,0.451,0.327,0.444,1.36,0.01,,,,2025-12-27
22085,"Morikawa, Collin",kft,2025,1.282,0.617,0.77,0.025,-0.13,0.3,0.09,,,,2025-12-27
18841,"Hovland, Viktor",kft,2025,1.273,0.292,0.807,-0.001,0.174,2.9,0.03,,,,2025-12-27
13562,"Matsuyama, Hideki",kft,2025,1.191,0.017,0.606,0.427,0.142,0.16,0,,,,2025-12-27
26991,"Schaper, Jayden",kft,2025,1.141,0.39,0.299,0.215,0.237,-3.53,0.07,,,,2025-12-27
10419,"Noren, Alex",kft,2025,1.098,0.026,0.385,0.196,0.49,-5.02,0.03,,,,2025-12-27
13872,"Bradley, Keegan",kft,2025,1.068,0.251,0.368,0.306,0.143,4.65,0.01,,,,2025-12-27
17511,"Straka, Sepp",kft,2025,1.064,0.384,0.514,-0.001,0.167,-1.23,0.06,,,,2025-12-27
17576,"Conners, Corey",kft,2025,1.058,0.464,0.564,-0.002,0.031,-1.06,0.07,,,,2025-12-27
18634,"McNealy, Maverick",kft,2025,1.047,0.23,0.34,0.115,0.363,5.23,0.01,,,,2025-12-27
23504,"Hoey, Rico",kft,2025,1.04,0.753,0.791,-0.061,-0.442,6.45,0.05,,,,2025-12-27
14577,"English, Harris",kft,2025,1.037,0.25,0.197,0.177,0.413,1.49,0.03,,,,2025-12-27
14139,"Thomas, Justin",kft,2025,1.033,0.024,0.33,0.358,0.32,5.94,-0.05,,,,2025-12-27
26649,"Thorbjornsen, Michael",kft,2025,0.995,0.727,0.295,-0.073,0.046,12.46,0.01,,,,2025-12-27
24342,"Higgo, Garrick",kft,2025,0.992,0.343,0.17,0.081,0.398,9.71,-0.04,,,,2025-12-27
12965,"Fowler, Rickie",kft,2025,0.985,0.396,0.274,0.093,0.222,1.96,0.04,,,,2025-12-27
21891,"Kitayama, Kurt",kft,2025,0.979,0.477,0.552,0.096,-0.145,11.96,-0.03,,,,2025-12-27
21407,"Reitan, Kristoffer",kft,2025,0.925,0.623,0.07,-0.222,0.453,10.2,0,,,,2025-12-27
23602,"Hojgaard, Nicolai",kft,2025,0.913,0.53,0.469,-0.12,0.034,17.34,-0.04,,,,2025-12-27
27194,"Hall, Harry",kft,2025,0.91,-0.193,0.106,0.305,0.691,0.07,-0.03,,,,2025-12-27
21554,"Poston, J.T.",kft,2025,0.907,0.292,0.243,0.151,0.221,-5.14,0.07,,,,2025-12-27
