time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l24_months,poor shot (under -0.5 sg) avoidance rate,"Kraft, Kelly",29,0.931,99,0.98,145,0.945,77,0.948,46,0.935,49,0.959
l24_months,poor shot (under -0.5 sg) avoidance rate,"Moore, Ryan",75,0.88,249,0.972,424,0.95,179,0.972,90,0.944,102,0.951
l24_months,poor shot (under -0.5 sg) avoidance rate,"Manassero, Matteo",55,1,176,0.972,322,0.96,167,0.946,78,0.949,120,0.95
l24_months,poor shot (under -0.5 sg) avoidance rate,"Scheffler, Scottie",192,0.969,621,0.971,890,0.966,494,0.978,248,0.956,242,0.971
l24_months,poor shot (under -0.5 sg) avoidance rate,"Stanger, Jimmy",37,0.946,101,0.97,151,0.927,68,0.956,56,0.911,50,0.98
l24_months,poor shot (under -0.5 sg) avoidance rate,"Byrd, Jonathan",40,0.95,93,0.968,140,0.936,61,0.918,50,0.9,47,0.957
l24_months,poor shot (under -0.5 sg) avoidance rate,"Bradley, Keegan",205,0.966,615,0.967,934,0.966,458,0.965,283,0.936,264,0.955
l24_months,poor shot (under -0.5 sg) avoidance rate,"Burgoon, Bronson",38,0.947,88,0.966,146,0.938,78,0.962,61,0.951,67,0.94
l24_months,poor shot (under -0.5 sg) avoidance rate,"Kirk, Chris",217,0.94,571,0.965,834,0.953,423,0.955,261,0.954,259,0.934
l24_months,poor shot (under -0.5 sg) avoidance rate,"DeChambeau, Bryson",32,0.969,84,0.964,155,0.948,91,0.967,50,0.9,47,0.936
l24_months,poor shot (under -0.5 sg) avoidance rate,"Peterson, Paul",83,1,196,0.964,319,0.937,164,0.957,75,0.933,62,0.952
l24_months,poor shot (under -0.5 sg) avoidance rate,"Harman, Brian",251,0.944,666,0.964,1022,0.949,543,0.95,263,0.951,277,0.953
l24_months,poor shot (under -0.5 sg) avoidance rate,"Noh, S.Y.",34,0.941,82,0.963,112,0.893,60,0.933,44,0.909,47,0.979
l24_months,poor shot (under -0.5 sg) avoidance rate,"Lower, Justin",162,0.944,629,0.962,858,0.944,381,0.95,244,0.947,282,0.95
l24_months,poor shot (under -0.5 sg) avoidance rate,"Covello, Vince",25,0.96,78,0.962,118,0.941,56,0.911,54,0.963,null,null
l24_months,poor shot (under -0.5 sg) avoidance rate,"Horschel, Billy",130,0.938,412,0.961,660,0.959,299,0.967,193,0.948,210,0.976
l24_months,poor shot (under -0.5 sg) avoidance rate,"Fisk, Steven",97,0.959,231,0.961,354,0.949,163,0.945,151,0.927,113,0.991
l24_months,poor shot (under -0.5 sg) avoidance rate,"Henley, Russell",209,0.962,584,0.961,871,0.959,461,0.961,178,0.972,218,0.977
l24_months,poor shot (under -0.5 sg) avoidance rate,"Kisner, Kevin",101,0.941,272,0.96,486,0.92,215,0.926,147,0.959,158,0.949
l24_months,poor shot (under -0.5 sg) avoidance rate,"Thompson, Davis",245,0.959,666,0.959,939,0.951,457,0.961,314,0.901,282,0.926
l24_months,poor shot (under -0.5 sg) avoidance rate,"Straka, Sepp",171,0.959,606,0.959,967,0.97,485,0.973,190,0.926,246,0.963
l24_months,poor shot (under -0.5 sg) avoidance rate,"Perez, Victor",139,0.942,480,0.958,821,0.966,382,0.953,267,0.944,236,0.975
l24_months,poor shot (under -0.5 sg) avoidance rate,"Meissner, Mac",172,0.965,502,0.958,779,0.963,363,0.978,246,0.943,259,0.95
l24_months,poor shot (under -0.5 sg) avoidance rate,"Clanton, Luke",102,0.951,328,0.957,414,0.952,221,0.955,154,0.929,124,0.96
l24_months,poor shot (under -0.5 sg) avoidance rate,"Johnson, Zach",152,0.921,372,0.957,565,0.943,258,0.965,110,0.918,165,0.952
l24_months,poor shot (under -0.5 sg) avoidance rate,"Kim, Tom",206,0.942,580,0.957,952,0.943,500,0.964,267,0.94,286,0.951
l24_months,poor shot (under -0.5 sg) avoidance rate,"Morikawa, Collin",183,0.951,648,0.957,859,0.959,485,0.965,159,0.943,208,0.976
l24_months,poor shot (under -0.5 sg) avoidance rate,"Hodges, Lee",158,0.956,600,0.957,849,0.949,413,0.964,222,0.955,223,0.978
l24_months,poor shot (under -0.5 sg) avoidance rate,"McIlroy, Rory",139,0.928,481,0.956,670,0.949,360,0.961,271,0.923,236,0.979
l24_months,poor shot (under -0.5 sg) avoidance rate,"Streelman, Kevin",97,0.969,343,0.956,465,0.916,186,0.978,146,0.945,135,0.963
l24_months,poor shot (under -0.5 sg) avoidance rate,"Endycott, Harrison",64,0.906,182,0.956,250,0.9,137,0.956,81,0.864,76,0.947
l24_months,poor shot (under -0.5 sg) avoidance rate,"Zalatoris, Will",122,0.943,363,0.956,575,0.948,297,0.966,174,0.954,219,0.973
l24_months,poor shot (under -0.5 sg) avoidance rate,"Fishburn, Patrick",163,0.933,475,0.956,648,0.963,323,0.96,244,0.939,211,0.972
l24_months,poor shot (under -0.5 sg) avoidance rate,"Bezuidenhout, Christiaan",221,0.977,609,0.956,974,0.955,465,0.978,227,0.952,297,0.966
l24_months,poor shot (under -0.5 sg) avoidance rate,"Cauley, Bud",146,0.966,473,0.956,653,0.948,299,0.967,199,0.905,212,0.958
l24_months,poor shot (under -0.5 sg) avoidance rate,"Fleetwood, Tommy",152,0.98,580,0.955,847,0.953,472,0.964,167,0.94,248,0.972
l24_months,poor shot (under -0.5 sg) avoidance rate,"Hojgaard, Rasmus",96,0.906,264,0.955,366,0.945,226,0.934,163,0.957,155,0.942
l24_months,poor shot (under -0.5 sg) avoidance rate,"Crowe, Trace",83,0.94,220,0.955,299,0.946,156,0.955,134,0.925,120,0.925
l24_months,poor shot (under -0.5 sg) avoidance rate,"Hale Jr, Blaine",53,0.906,152,0.954,192,0.911,101,0.921,107,0.916,73,0.904
l24_months,poor shot (under -0.5 sg) avoidance rate,"Snedeker, Brandt",140,0.964,412,0.954,632,0.922,311,0.939,188,0.952,180,0.95
