time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l24_months,green hit rate,"Rahm, Jon",44,0.914,94,0.888,172,0.704,101,0.534,33,0.638,49,0.462
l24_months,green hit rate,"Scheffler, Scottie",192,0.889,621,0.874,890,0.761,494,0.497,248,0.625,242,0.407
l24_months,green hit rate,"Fleetwood, Tommy",152,0.895,580,0.869,847,0.7,472,0.485,167,0.595,248,0.358
l24_months,green hit rate,"Rai, Aaron",163,0.837,586,0.862,978,0.73,529,0.499,154,0.577,193,0.378
l24_months,green hit rate,"Straka, Sepp",171,0.877,606,0.857,967,0.728,485,0.522,190,0.495,246,0.321
l24_months,green hit rate,"Bezuidenhout, Christiaan",221,0.893,609,0.852,974,0.692,465,0.462,227,0.489,297,0.324
l24_months,green hit rate,"Glover, Lucas",185,0.885,648,0.851,955,0.699,440,0.444,189,0.565,232,0.335
l24_months,green hit rate,"Conners, Corey",197,0.848,703,0.846,962,0.77,539,0.496,248,0.544,251,0.368
l24_months,green hit rate,"Perez, Victor",139,0.843,480,0.841,821,0.714,382,0.472,267,0.582,236,0.433
l24_months,green hit rate,"Cantlay, Patrick",197,0.868,513,0.84,714,0.727,413,0.444,267,0.59,250,0.36
l24_months,green hit rate,"Covello, Vince",25,0.827,78,0.84,118,0.665,56,0.351,54,0.618,null,null
l24_months,green hit rate,"Hatton, Tyrrell",48,0.796,118,0.84,226,0.71,134,0.471,51,0.482,54,0.457
l24_months,green hit rate,"Manassero, Matteo",55,0.938,176,0.838,322,0.683,167,0.411,78,0.652,120,0.307
l24_months,green hit rate,"Molinari, Francesco",85,0.902,234,0.838,413,0.693,200,0.389,76,0.616,102,0.379
l24_months,green hit rate,"Kim, Tom",206,0.893,580,0.837,952,0.665,500,0.465,267,0.543,286,0.334
l24_months,green hit rate,"Horschel, Billy",130,0.847,412,0.837,660,0.69,299,0.471,193,0.607,210,0.294
l24_months,green hit rate,"Hodges, Lee",158,0.84,600,0.835,849,0.683,413,0.512,222,0.485,223,0.404
l24_months,green hit rate,"Pendrith, Taylor",185,0.859,632,0.834,758,0.699,400,0.482,308,0.572,263,0.356
l24_months,green hit rate,"Bradley, Keegan",205,0.877,615,0.834,934,0.689,458,0.488,283,0.577,264,0.338
l24_months,green hit rate,"Fisk, Steven",97,0.908,231,0.834,354,0.703,163,0.44,151,0.51,113,0.405
l24_months,green hit rate,"McCarthy, Denny",211,0.897,635,0.834,1023,0.703,485,0.446,218,0.561,341,0.312
l24_months,green hit rate,"Henley, Russell",209,0.875,584,0.833,871,0.718,461,0.474,178,0.61,218,0.367
l24_months,green hit rate,"An, Byeong Hun",222,0.836,602,0.833,774,0.683,432,0.428,395,0.548,322,0.357
l24_months,green hit rate,"Kirk, Chris",217,0.863,571,0.832,834,0.675,423,0.444,261,0.609,259,0.297
l24_months,green hit rate,"Finau, Tony",152,0.838,555,0.831,781,0.713,409,0.494,252,0.6,292,0.452
l24_months,green hit rate,"Fishburn, Patrick",163,0.882,475,0.831,648,0.69,323,0.488,244,0.598,211,0.357
l24_months,green hit rate,"Kohles, Ben",219,0.878,540,0.829,818,0.728,423,0.497,157,0.46,190,0.319
l24_months,green hit rate,"Vegas, Jhonattan",144,0.875,464,0.828,674,0.682,335,0.504,244,0.579,263,0.371
l24_months,green hit rate,"Taylor, Nick",166,0.853,636,0.828,911,0.68,503,0.49,230,0.587,295,0.357
l24_months,green hit rate,"Thomas, Justin",181,0.87,530,0.828,744,0.687,417,0.495,300,0.556,283,0.414
l24_months,green hit rate,"Kanaya, Takumi",92,0.869,269,0.827,428,0.595,213,0.42,77,0.569,76,0.339
l24_months,green hit rate,"Yu, Kevin",205,0.836,572,0.827,792,0.725,406,0.51,299,0.483,253,0.374
l24_months,green hit rate,"Putnam, Andrew",175,0.862,485,0.826,861,0.717,414,0.492,158,0.609,236,0.397
l24_months,green hit rate,"Morikawa, Collin",183,0.887,648,0.826,859,0.694,485,0.444,159,0.621,208,0.344
l24_months,green hit rate,"Davis, Cam",191,0.848,437,0.826,744,0.678,391,0.464,253,0.477,286,0.29
l24_months,green hit rate,"Teater, Josh",61,0.838,153,0.824,226,0.663,121,0.365,93,0.527,77,0.434
