time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l24_months,good shot (over +0.5 sg) rate,"Haas, Bill",37,0.081,120,0.108,150,0.053,78,0.051,80,0.05,67,0.015
l24_months,good shot (over +0.5 sg) rate,"Gutschewski, Scott",55,0.091,157,0.108,196,0.051,98,0.051,69,0.101,83,0.024
l24_months,good shot (over +0.5 sg) rate,"Norgaard, Niklas",74,0.081,157,0.108,247,0.053,122,0.049,124,0.04,94,0.085
l24_months,good shot (over +0.5 sg) rate,"Barnes, Erik",59,0.119,161,0.106,236,0.072,118,0.068,111,0.054,101,0.03
l24_months,good shot (over +0.5 sg) rate,"Murray, Grayson",35,0.171,129,0.101,219,0.073,113,0.018,69,0.072,58,0.034
l24_months,good shot (over +0.5 sg) rate,"Noren, Alex",117,0.085,348,0.101,628,0.051,324,0.052,138,0.087,189,0.069
l24_months,good shot (over +0.5 sg) rate,"Morikawa, Collin",183,0.087,648,0.1,859,0.068,485,0.06,159,0.057,208,0.067
l24_months,good shot (over +0.5 sg) rate,"Streelman, Kevin",97,0.082,343,0.099,465,0.054,186,0.022,146,0.055,135,0.022
l24_months,good shot (over +0.5 sg) rate,"Thomas, Justin",181,0.083,530,0.098,744,0.066,417,0.072,300,0.067,283,0.071
l24_months,good shot (over +0.5 sg) rate,"Hoge, Tom",198,0.101,690,0.097,990,0.072,492,0.067,296,0.068,371,0.081
l24_months,good shot (over +0.5 sg) rate,"Kim, Si Woo",245,0.098,624,0.096,1001,0.076,541,0.072,260,0.073,272,0.059
l24_months,good shot (over +0.5 sg) rate,"Schenk, Adam",245,0.073,539,0.095,778,0.053,386,0.044,304,0.049,278,0.036
l24_months,good shot (over +0.5 sg) rate,"Glover, Lucas",185,0.092,648,0.094,955,0.073,440,0.061,189,0.074,232,0.078
l24_months,good shot (over +0.5 sg) rate,"Piercy, Scott",62,0.081,149,0.094,238,0.038,139,0.029,87,0.149,65,0.062
l24_months,good shot (over +0.5 sg) rate,"Wallace, Matt",149,0.094,363,0.094,664,0.063,342,0.053,248,0.056,242,0.037
l24_months,good shot (over +0.5 sg) rate,"Spaun, J.J.",182,0.088,641,0.094,888,0.069,427,0.054,280,0.029,273,0.07
l24_months,good shot (over +0.5 sg) rate,"Hovland, Viktor",162,0.117,461,0.093,675,0.068,370,0.068,195,0.067,223,0.049
l24_months,good shot (over +0.5 sg) rate,"Clark, Wyndham",220,0.141,586,0.092,760,0.046,426,0.073,301,0.076,284,0.032
l24_months,good shot (over +0.5 sg) rate,"Hojgaard, Rasmus",96,0.063,264,0.091,366,0.046,226,0.066,163,0.104,155,0.084
l24_months,good shot (over +0.5 sg) rate,"Hojgaard, Nicolai",129,0.093,341,0.091,576,0.071,273,0.044,186,0.059,229,0.07
l24_months,good shot (over +0.5 sg) rate,"Scheffler, Scottie",192,0.141,621,0.09,890,0.069,494,0.079,248,0.069,242,0.074
l24_months,good shot (over +0.5 sg) rate,"Phillips, Chandler",166,0.096,555,0.09,751,0.063,387,0.075,275,0.069,256,0.039
l24_months,good shot (over +0.5 sg) rate,"Young, Cameron",219,0.059,660,0.089,842,0.075,497,0.056,373,0.059,291,0.062
l24_months,good shot (over +0.5 sg) rate,"Grillo, Emiliano",166,0.084,653,0.089,984,0.062,471,0.049,246,0.069,271,0.055
l24_months,good shot (over +0.5 sg) rate,"Yuan, Carl",82,0.049,227,0.088,346,0.066,160,0.05,137,0.08,126,0.056
l24_months,good shot (over +0.5 sg) rate,"Griffin, Lanto",139,0.065,421,0.088,656,0.05,320,0.072,201,0.06,212,0.066
l24_months,good shot (over +0.5 sg) rate,"Norlander, Henrik",107,0.093,446,0.087,684,0.079,309,0.071,163,0.074,206,0.058
l24_months,good shot (over +0.5 sg) rate,"Kizzire, Patton",150,0.067,435,0.087,602,0.065,277,0.058,197,0.056,208,0.058
l24_months,good shot (over +0.5 sg) rate,"Kuchar, Matt",194,0.082,499,0.086,720,0.053,333,0.042,206,0.049,194,0.026
l24_months,good shot (over +0.5 sg) rate,"Coody, Pierceson",132,0.053,384,0.086,484,0.039,252,0.067,231,0.048,148,0.027
l24_months,good shot (over +0.5 sg) rate,"Olesen, Thorbjorn",153,0.078,431,0.086,653,0.043,328,0.061,194,0.057,238,0.063
l24_months,good shot (over +0.5 sg) rate,"Rose, Justin",132,0.083,420,0.086,691,0.056,360,0.044,181,0.072,212,0.033
l24_months,good shot (over +0.5 sg) rate,"Manassero, Matteo",55,0.091,176,0.085,322,0.053,167,0.048,78,0.077,120,0.042
l24_months,good shot (over +0.5 sg) rate,"Taylor, Nick",166,0.151,636,0.085,911,0.057,503,0.056,230,0.057,295,0.071
l24_months,good shot (over +0.5 sg) rate,"Matsuyama, Hideki",178,0.107,614,0.085,841,0.075,448,0.071,295,0.054,308,0.045
l24_months,good shot (over +0.5 sg) rate,"Cauley, Bud",146,0.123,473,0.085,653,0.046,299,0.047,199,0.085,212,0.057
l24_months,good shot (over +0.5 sg) rate,"Castillo, Ricky",104,0.077,238,0.084,336,0.051,169,0.03,131,0.038,124,0.097
l24_months,good shot (over +0.5 sg) rate,"Hoffman, Charley",135,0.081,346,0.084,491,0.061,237,0.038,226,0.058,186,0.086
l24_months,good shot (over +0.5 sg) rate,"An, Byeong Hun",222,0.072,602,0.083,774,0.054,432,0.058,395,0.056,322,0.047
l24_months,good shot (over +0.5 sg) rate,"Novak, Andrew",215,0.084,602,0.083,902,0.054,453,0.053,295,0.054,319,0.063
l24_months,good shot (over +0.5 sg) rate,"Greyserman, Max",204,0.059,542,0.083,752,0.061,391,0.054,312,0.054,282,0.05
l24_months,good shot (over +0.5 sg) rate,"Potgieter, Aldrich",64,0.078,169,0.083,234,0.051,114,0.07,104,0.029,73,0.055
l24_months,good shot (over +0.5 sg) rate,"Knapp, Jake",174,0.098,520,0.083,755,0.058,421,0.064,300,0.083,326,0.058
l24_months,good shot (over +0.5 sg) rate,"Merritt, Troy",93,0.075,291,0.082,437,0.05,204,0.064,156,0.096,128,0.063
l24_months,good shot (over +0.5 sg) rate,"Cole, Eric",221,0.095,705,0.082,1047,0.062,513,0.051,428,0.072,386,0.06
l24_months,good shot (over +0.5 sg) rate,"Widing, Tim",58,0.052,134,0.082,207,0.048,120,0.083,87,0.023,88,0.045
l24_months,good shot (over +0.5 sg) rate,"Day, Jason",134,0.112,476,0.082,743,0.051,392,0.043,211,0.071,266,0.06
l24_months,good shot (over +0.5 sg) rate,"Rozner, Antoine",63,0.127,233,0.082,361,0.05,171,0.064,107,0.065,130,0.046
l24_months,good shot (over +0.5 sg) rate,"Kitayama, Kurt",165,0.115,552,0.082,763,0.059,371,0.089,289,0.069,258,0.043
l24_months,good shot (over +0.5 sg) rate,"Perez, Victor",139,0.072,480,0.081,821,0.052,382,0.045,267,0.071,236,0.034
