time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l24_months,proximity (ft),"Scheffler, Scottie",192,13.3,621,18,890,26.8,494,40,248,34.1,242,50.9
l24_months,proximity (ft),"Hoge, Tom",198,15.7,690,18.1,990,28.8,492,41,296,36.6,371,54.4
l24_months,proximity (ft),"Morikawa, Collin",183,15.6,648,19,859,28.2,485,44.9,159,36.3,208,57.3
l24_months,proximity (ft),"Thomas, Justin",181,15.9,530,19,744,30.1,417,45.3,300,35.7,283,52.5
l24_months,proximity (ft),"Manassero, Matteo",55,16.5,176,19.1,322,31.1,167,49.3,78,31.9,120,62.2
l24_months,proximity (ft),"Glover, Lucas",185,15.6,648,19.1,955,28.5,440,44.9,189,37.9,232,62.7
l24_months,proximity (ft),"Moore, Ryan",75,19.8,249,19.1,424,30,179,43.9,90,35.6,102,65.4
l24_months,proximity (ft),"Lowry, Shane",195,15,563,19.2,790,28.5,429,43.5,189,34.1,256,56.2
l24_months,proximity (ft),"Straka, Sepp",171,16.4,606,19.3,967,28,485,42.9,190,40.7,246,56.8
l24_months,proximity (ft),"Kirk, Chris",217,15.2,571,19.3,834,30.3,423,46.5,261,34.4,259,69.9
l24_months,proximity (ft),"Henley, Russell",209,13.7,584,19.4,871,29.7,461,44.1,178,33,218,56.1
l24_months,proximity (ft),"Bradley, Keegan",205,15.5,615,19.5,934,28.3,458,44.4,283,37,264,63
l24_months,proximity (ft),"Hovland, Viktor",162,16.8,461,19.5,675,27,370,38.3,195,35.6,223,61.4
l24_months,proximity (ft),"Murray, Grayson",35,17.1,129,19.6,219,31.1,113,47.8,69,33.9,58,57.1
l24_months,proximity (ft),"Fleetwood, Tommy",152,16,580,19.6,847,29.4,472,44.6,167,40.4,248,66.3
l24_months,proximity (ft),"Cole, Eric",221,16.7,705,19.7,1047,30,513,45.4,428,35.7,386,65.3
l24_months,proximity (ft),"Lindheim, Nicholas",41,24.1,125,19.8,154,33.3,72,50.4,56,39,54,73.9
l24_months,proximity (ft),"Matsuyama, Hideki",178,14.9,614,19.8,841,27.4,448,39.6,295,38.4,308,55.9
l24_months,proximity (ft),"Conners, Corey",197,17.8,703,19.8,962,27.5,539,43.6,248,39.9,251,58.4
l24_months,proximity (ft),"Rose, Justin",132,17.3,420,19.8,691,29.6,360,49.3,181,40.4,212,58.2
l24_months,proximity (ft),"Spaun, J.J.",182,17.4,641,19.9,888,29.9,427,42.2,280,36.6,273,57.8
l24_months,proximity (ft),"Niemann, Joaquin",32,13,94,19.9,154,25.4,98,45.4,37,28.1,50,47.9
