time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l24_months,sg per shot,"Scheffler, Scottie",192,0.131,621,0.077,890,0.077,494,0.071,248,0.062,242,0.095
l24_months,sg per shot,"Hoge, Tom",198,0.032,690,0.076,990,0.012,492,0.051,296,0.017,371,0.067
l24_months,sg per shot,"Glover, Lucas",185,0.026,648,0.072,955,0.05,440,-0.008,189,0.024,232,0.019
l24_months,sg per shot,"Manassero, Matteo",55,0.048,176,0.062,322,0.019,167,-0.019,78,0.054,120,-0.035
l24_months,sg per shot,"Thomas, Justin",181,0.058,530,0.061,744,0.016,417,0.015,300,0.032,283,0.061
l24_months,sg per shot,"Kirk, Chris",217,0.048,571,0.06,834,0.01,423,0.003,261,0.05,259,-0.056
l24_months,sg per shot,"Morikawa, Collin",183,0.046,648,0.057,859,0.046,485,0.008,159,0.015,208,0.038
l24_months,sg per shot,"Moore, Ryan",75,-0.111,249,0.051,424,0.003,179,-0.017,90,0.056,102,-0.019
l24_months,sg per shot,"Straka, Sepp",171,0.022,606,0.05,967,0.056,485,0.04,190,-0.03,246,-0.004
l24_months,sg per shot,"Hovland, Viktor",162,0.028,461,0.048,675,0.046,370,0.06,195,0.043,223,0.025
l24_months,sg per shot,"Conners, Corey",197,-0.01,703,0.048,962,0.066,539,0.043,248,-0.028,251,0.038
l24_months,sg per shot,"Spaun, J.J.",182,0.013,641,0.047,888,0.024,427,0.054,280,-0.001,273,0.075
l24_months,sg per shot,"Murray, Grayson",35,0.032,129,0.047,219,-0.017,113,-0.032,69,0.067,58,-0.054
l24_months,sg per shot,"Kuchar, Matt",194,0.004,499,0.047,720,-0.028,333,-0.004,206,0.044,194,-0.03
l24_months,sg per shot,"Henley, Russell",209,0.08,584,0.046,871,0.023,461,0.026,178,0.074,218,0.047
l24_months,sg per shot,"Fleetwood, Tommy",152,0.027,580,0.046,847,0.029,472,0.017,167,-0.022,248,0.016
l24_months,sg per shot,"Streelman, Kevin",97,0.022,343,0.045,465,-0.026,186,0,146,-0.035,135,-0.063
l24_months,sg per shot,"Kizzire, Patton",150,0.011,435,0.045,602,-0.013,277,-0.041,197,-0.009,208,-0.008
l24_months,sg per shot,"Young, Cameron",219,-0.008,660,0.042,842,0.008,497,-0.029,373,-0.013,291,0.028
l24_months,sg per shot,"Kim, Tom",206,0.053,580,0.04,952,0.009,500,0.006,267,0.027,286,-0.005
l24_months,sg per shot,"Lowry, Shane",195,0.041,563,0.039,790,0.047,429,0.047,189,0.073,256,0.043
l24_months,sg per shot,"Matsuyama, Hideki",178,0.063,614,0.039,841,0.057,448,0.045,295,-0.014,308,0.013
l24_months,sg per shot,"Cole, Eric",221,0.028,705,0.037,1047,0.015,513,0,428,0.004,386,-0.007
l24_months,sg per shot,"Bezuidenhout, Christiaan",221,0.066,609,0.036,974,0.013,465,0.03,227,-0.063,297,-0.009
l24_months,sg per shot,"Piercy, Scott",62,-0.051,149,0.035,238,0,139,-0.019,87,0.107,65,-0.101
l24_months,sg per shot,"Snedeker, Brandt",140,0.033,412,0.035,632,-0.037,311,-0.078,188,-0.016,180,-0.057
l24_months,sg per shot,"An, Byeong Hun",222,-0.002,602,0.034,774,0.012,432,-0.011,395,-0.011,322,-0.018
l24_months,sg per shot,"Rai, Aaron",163,0,586,0.034,978,0.034,529,0.027,154,-0.048,193,0.056
l24_months,sg per shot,"Bradley, Keegan",205,0.049,615,0.034,934,0.031,458,0.021,283,-0.006,264,-0.005
l24_months,sg per shot,"Taylor, Nick",166,0.034,636,0.034,911,0.01,503,0.021,230,0.018,295,0.033
l24_months,sg per shot,"Mitchell, Keith",228,-0.007,485,0.032,723,0.002,378,0.035,377,0.016,223,0.01
l24_months,sg per shot,"Kim, Michael",201,0.033,562,0.031,822,0.007,413,-0.002,296,0.003,303,0.027
l24_months,sg per shot,"Davis, Cam",191,0.03,437,0.031,744,0.003,391,-0.021,253,-0.025,286,-0.044
l24_months,sg per shot,"Dahmen, Joel",203,-0.006,519,0.031,762,0.022,352,0.022,215,-0.021,184,0.002
l24_months,sg per shot,"Bryan, Wesley",63,0.02,133,0.031,178,-0.007,96,0.006,108,-0.017,76,-0.059
l24_months,sg per shot,"Lindheim, Nicholas",41,-0.134,125,0.03,154,-0.019,72,-0.091,56,-0.019,54,-0.08
l24_months,sg per shot,"Grillo, Emiliano",166,0.045,653,0.029,984,0.028,471,0.027,246,0.002,271,0.008
l24_months,sg per shot,"Bhatia, Akshay",272,-0.006,648,0.029,972,0.036,499,0.044,308,-0.004,279,-0.009
l24_months,sg per shot,"Cantlay, Patrick",197,0.006,513,0.028,714,0.037,413,0.007,267,-0.002,250,0.045
l24_months,sg per shot,"Harman, Brian",251,0.043,666,0.028,1022,0.012,543,-0.002,263,0.006,277,0.002
l24_months,sg per shot,"Sigg, Greyson",135,0.039,528,0.027,734,0.005,334,0.021,190,0.029,231,0.038
l24_months,sg per shot,"Norlander, Henrik",107,-0.046,446,0.026,684,0.044,309,0.011,163,-0.019,206,0.051
l24_months,sg per shot,"Burns, Sam",251,0.002,689,0.025,919,0.011,511,-0.013,281,0.001,271,-0.001
